KO	ID	KCLASS	KPATH	EC	NAME
K13238	DCI	Metabolism	Lipid-metabolism	Fatty-acid-metabolism	5.3.3.8	3,2-trans-enoyl-CoA isomerase, mitochondrial
K13239	PECI	Metabolism	Lipid-metabolism	Fatty-acid-metabolism	5.3.3.8	peroxisomal 3,2-trans-enoyl-CoA isomerase
K00496	E1.14.15.3	Metabolism	Lipid-metabolism	Fatty-acid-metabolism	1.14.15.3	alkane 1-monooxygenase
K07425	CYP4A	Metabolism	Lipid-metabolism	Fatty-acid-metabolism	1.14.15.3	cytochrome P450, family 4, subfamily A
K00529	hcaD	Metabolism	Lipid-metabolism	Fatty-acid-metabolism	1.18.1.3	ferredoxin--NAD+ reductase
K14581	nahAa	Metabolism	Lipid-metabolism	Fatty-acid-metabolism	1.18.1.3	naphthalene 1,2-dioxygenase system ferredoxin--NAD(+) reductase component
K05297	E1.18.1.1	Metabolism	Lipid-metabolism	Fatty-acid-metabolism	1.18.1.1	rubredoxin-NAD+ reductase
K13951	ADH1_7	Metabolism	Lipid-metabolism	Fatty-acid-metabolism	1.1.1.1	alcohol dehydrogenase 1/7
K13980	ADH4	Metabolism	Lipid-metabolism	Fatty-acid-metabolism	1.1.1.1	alcohol dehydrogenase 4
K00121	frmA	Metabolism	Lipid-metabolism	Fatty-acid-metabolism	1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase
K13952	ADH6	Metabolism	Lipid-metabolism	Fatty-acid-metabolism	1.1.1.1	alcohol dehydrogenase 6
K04072	adhE	Metabolism	Lipid-metabolism	Fatty-acid-metabolism	1.2.1.10	acetaldehyde dehydrogenase / alcohol dehydrogenase
K13953	adhP	Metabolism	Lipid-metabolism	Fatty-acid-metabolism	1.1.1.1	alcohol dehydrogenase, propanol-preferring
K13954	yiaY	Metabolism	Lipid-metabolism	Fatty-acid-metabolism	1.1.1.1	alcohol dehydrogenase
K00001	E1.1.1.1	Metabolism	Lipid-metabolism	Fatty-acid-metabolism	1.1.1.1	alcohol dehydrogenase
K00128	E1.2.1.3	Metabolism	Lipid-metabolism	Fatty-acid-metabolism	1.2.1.3	aldehyde dehydrogenase (NAD+)
K14085	ALDH7A1	Metabolism	Lipid-metabolism	Fatty-acid-metabolism	1.2.1.31	aldehyde dehydrogenase family 7 member A1
K00149	ALDH9A1	Metabolism	Lipid-metabolism	Fatty-acid-metabolism	1.2.1.47	aldehyde dehydrogenase family 9 member A1
K00493	E1.14.14.1	Metabolism	Lipid-metabolism	Fatty-acid-metabolism	1.14.14.1	unspecific monooxygenase
K14338	cypD_E	Metabolism	Lipid-metabolism	Fatty-acid-metabolism	1.14.14.1	cytochrome P450 / NADPH-cytochrome P450 reductase
K01641	E2.3.3.10	Metabolism	Lipid-metabolism	Synthesis-and-degradation-of-ketone-bodies	2.3.3.10	hydroxymethylglutaryl-CoA synthase
K01640	E4.1.3.4	Metabolism	Lipid-metabolism	Synthesis-and-degradation-of-ketone-bodies	4.1.3.4	hydroxymethylglutaryl-CoA lyase
K01027	OXCT	Metabolism	Lipid-metabolism	Synthesis-and-degradation-of-ketone-bodies	2.8.3.5	3-oxoacid CoA-transferase
K01028	E2.8.3.5A	Metabolism	Lipid-metabolism	Synthesis-and-degradation-of-ketone-bodies	2.8.3.5	3-oxoacid CoA-transferase subunit A
K01029	E2.8.3.5B	Metabolism	Lipid-metabolism	Synthesis-and-degradation-of-ketone-bodies	2.8.3.5	3-oxoacid CoA-transferase subunit B
K00626	E2.3.1.9	Metabolism	Lipid-metabolism	Synthesis-and-degradation-of-ketone-bodies	2.3.1.9	acetyl-CoA C-acetyltransferase
K00019	E1.1.1.30	Metabolism	Lipid-metabolism	Synthesis-and-degradation-of-ketone-bodies	1.1.1.30	3-hydroxybutyrate dehydrogenase
K01574	E4.1.1.4	Metabolism	Lipid-metabolism	Synthesis-and-degradation-of-ketone-bodies	4.1.1.4	acetoacetate decarboxylase
K15398	CYP86A4S	Metabolism	Lipid-metabolism	Cutin,-suberine-and-wax-biosynthesis	NA	cytochrome P450, family 86, subfamily A, polypeptide 2/4/7/8 (fatty acid omega-hydroxylase) [EC:1.14.-.-]
K15399	CYP77A6	Metabolism	Lipid-metabolism	Cutin,-suberine-and-wax-biosynthesis	NA	cytochrome P450, family 77, subfamily A, polypeptide 6 [EC:1.14.-.-]
K15400	HHT1	Metabolism	Lipid-metabolism	Cutin,-suberine-and-wax-biosynthesis	2.3.1.188	omega-hydroxypalmitate O-feruloyl transferase
K15401	CYP86A1	Metabolism	Lipid-metabolism	Cutin,-suberine-and-wax-biosynthesis	NA	cytochrome P450, family 86, subfamily A, polypeptide 1 (fatty acid omega-hydroxylase) [EC:1.14.-.-]
K13407	CYP94A1	Metabolism	Lipid-metabolism	Cutin,-suberine-and-wax-biosynthesis	NA	cytochrome P450, family 94, subfamily A, polypeptide 1 (fatty acid omega-hydroxylase) [EC:1.14.-.-]
K15402	CYP86B1	Metabolism	Lipid-metabolism	Cutin,-suberine-and-wax-biosynthesis	NA	cytochrome P450, family 86, subfamily B, polypeptide 1 (fatty acid omega-hydroxylase) [EC:1.14.-.-]
K15403	ACE	Metabolism	Lipid-metabolism	Cutin,-suberine-and-wax-biosynthesis	NA	fatty acid omega-hydroxy dehydrogenase [EC:1.1.-.-]
K15404	K15404	Metabolism	Lipid-metabolism	Cutin,-suberine-and-wax-biosynthesis	4.1.99.5	aldehyde decarbonylase
K15405	MAH1	Metabolism	Lipid-metabolism	Cutin,-suberine-and-wax-biosynthesis	NA	cytochrome P450, family 96, subfamily A, polypeptide 15 (midchain alkane hydroxylase)
K13356	FAR	Metabolism	Lipid-metabolism	Cutin,-suberine-and-wax-biosynthesis	NA	fatty acyl-CoA reductase [EC:1.2.1.-]
K15406	WSD1	Metabolism	Lipid-metabolism	Cutin,-suberine-and-wax-biosynthesis	2.3.1.75	wax-ester synthase / diacylglycerol O-acyltransferase
K01852	E5.4.99.7	Metabolism	Lipid-metabolism	Steroid-biosynthesis	5.4.99.7	lanosterol synthase
K05917	CYP51	Metabolism	Lipid-metabolism	Steroid-biosynthesis	1.14.13.70	cytochrome P450, family 51 (sterol 14-demethylase)
K00222	E1.3.1.70	Metabolism	Lipid-metabolism	Steroid-biosynthesis	1.3.1.70	delta14-sterol reductase
K07750	E1.14.13.72	Metabolism	Lipid-metabolism	Steroid-biosynthesis	1.14.13.72	methylsterol monooxygenase
K07748	E1.1.1.170	Metabolism	Lipid-metabolism	Steroid-biosynthesis	1.1.1.170	sterol-4alpha-carboxylate 3-dehydrogenase (decarboxylating)
K09827	ERG27	Metabolism	Lipid-metabolism	Steroid-biosynthesis	1.1.1.270	3-keto steroid reductase
K13373	HSD17B7	Metabolism	Lipid-metabolism	Steroid-biosynthesis	1.1.1.62	17beta-estradiol 17-dehydrogenase / 3beta-hydroxysteroid 3-dehydrogenase
K01824	EBP	Metabolism	Lipid-metabolism	Steroid-biosynthesis	5.3.3.5	cholestenol delta-isomerase
K09828	DHCR24	Metabolism	Lipid-metabolism	Steroid-biosynthesis	1.3.1.72	delta24-sterol reductase
K00227	SC5DL	Metabolism	Lipid-metabolism	Steroid-biosynthesis	1.14.21.6	lathosterol oxidase
K00213	DHCR7	Metabolism	Lipid-metabolism	Steroid-biosynthesis	1.3.1.21	7-dehydrocholesterol reductase
K01052	LIPA	Metabolism	Lipid-metabolism	Steroid-biosynthesis	3.1.1.13	lysosomal acid lipase/cholesteryl ester hydrolase
K12298	CEL	Metabolism	Lipid-metabolism	Steroid-biosynthesis	3.1.1.3	bile salt-stimulated lipase
K14674	TGL4	Metabolism	Lipid-metabolism	Steroid-biosynthesis	3.1.1.3	TAG lipase / steryl ester hydrolase / phospholipase A2 / LPA acyltransferase
K00637	E2.3.1.26	Metabolism	Lipid-metabolism	Steroid-biosynthesis	2.3.1.26	sterol O-acyltransferase
K07419	CYP2R1	Metabolism	Lipid-metabolism	Steroid-biosynthesis	1.14.13.159	cytochrome P450, family 2, subfamily R, polypeptide 1 (vitamin D 25-hydroxylase)
K07438	CYP27B	Metabolism	Lipid-metabolism	Steroid-biosynthesis	1.14.13.13	cytochrome P450, family 27, subfamily B (25-hydroxyvitamin D3 1alpha-hydroxylase)
K07436	CYP24A1	Metabolism	Lipid-metabolism	Steroid-biosynthesis	1.14.13.126	cytochrome P450, family 24, subfamily A, polypeptide 1 (vitamin D3 24-hydroxylase)
K00559	E2.1.1.41	Metabolism	Lipid-metabolism	Steroid-biosynthesis	2.1.1.41	sterol 24-C-methyltransferase
K09829	ERG2	Metabolism	Lipid-metabolism	Steroid-biosynthesis	NA	C-8 sterol isomerase [EC:5.-.-.-]
K09831	ERG5	Metabolism	Lipid-metabolism	Steroid-biosynthesis	NA	C-22 sterol desaturase [EC:1.14.14.-]
K00223	ERG4	Metabolism	Lipid-metabolism	Steroid-biosynthesis	1.3.1.71	delta24(24(1))-sterol reductase
K01853	E5.4.99.8	Metabolism	Lipid-metabolism	Steroid-biosynthesis	5.4.99.8	cycloartenol synthase
K14423	SMO1	Metabolism	Lipid-metabolism	Steroid-biosynthesis	1.14.13.72	4,4-dimethyl-9beta,19-cyclopropylsterol-4alpha-methyl oxidase
K08246	CPI1	Metabolism	Lipid-metabolism	Steroid-biosynthesis	5.5.1.9	cycloeucalenol cycloisomerase
K08242	E2.1.1.143	Metabolism	Lipid-metabolism	Steroid-biosynthesis	2.1.1.143	24-methylenesterol C-methyltransferase
K14424	SMO2	Metabolism	Lipid-metabolism	Steroid-biosynthesis	1.14.13.72	4-alpha-methyl-delta7-sterol-4alpha-methyl oxidase
K09832	CYP710A	Metabolism	Lipid-metabolism	Steroid-biosynthesis	NA	cytochrome P450, family 710, subfamily A
K07440	CYP46	Metabolism	Lipid-metabolism	Primary-bile-acid-biosynthesis	1.14.13.98	cytochrome P450, family 46, subfamily A (cholesterol 24(S)-hydroxylase)
K07439	CYP39	Metabolism	Lipid-metabolism	Primary-bile-acid-biosynthesis	1.14.13.99	cytochrome P450, family 39, subfamily A (24-hydroxycholesterol 7alpha-hydroxylase)
K12408	HSD3B7	Metabolism	Lipid-metabolism	Primary-bile-acid-biosynthesis	1.1.1.181	cholest-5-ene-3beta,7alpha-diol 3beta-dehydrogenase
K10223	CH25H	Metabolism	Lipid-metabolism	Primary-bile-acid-biosynthesis	1.14.99.38	cholesterol 25-hydroxylase
K07430	CYP7B	Metabolism	Lipid-metabolism	Primary-bile-acid-biosynthesis	1.14.13.100	cytochrome P450, family 7, subfamily B (oxysterol 7-alpha-hydroxylase)
K00489	CYP7A1	Metabolism	Lipid-metabolism	Primary-bile-acid-biosynthesis	1.14.13.17	cytochrome P450, family 7, subfamily A (cholesterol 7alpha-monooxygenase)
K00488	CYP27A	Metabolism	Lipid-metabolism	Primary-bile-acid-biosynthesis	1.14.13.15	cytochrome P450, family 27, subfamily A (cholestanetriol 26-monooxygenase)
K07431	CYP8B	Metabolism	Lipid-metabolism	Primary-bile-acid-biosynthesis	1.14.13.95	cytochrome P450, family 8, subfamily B (sterol 12-alpha-hydroxylase)
K00251	AKR1D1	Metabolism	Lipid-metabolism	Primary-bile-acid-biosynthesis	1.3.1.3	3-oxo-5-beta-steroid 4-dehydrogenase
K00037	E1.1.1.50	Metabolism	Lipid-metabolism	Primary-bile-acid-biosynthesis	1.1.1.50	3-alpha-hydroxysteroid dehydrogenase
K08748	SLC27A5	Metabolism	Lipid-metabolism	Primary-bile-acid-biosynthesis	6.2.1.7	solute carrier family 27 (fatty acid transporter), member 5
K01796	E5.1.99.4	Metabolism	Lipid-metabolism	Primary-bile-acid-biosynthesis	5.1.99.4	alpha-methylacyl-CoA racemase
K10214	ACOX2	Metabolism	Lipid-metabolism	Primary-bile-acid-biosynthesis	1.17.99.3	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase
K12405	HSD17B4	Metabolism	Lipid-metabolism	Primary-bile-acid-biosynthesis	1.1.1.35	3-hydroxyacyl-CoA dehydrogenase / 3a,7a,12a-trihydroxy-5b-cholest-24-enoyl-CoA hydratase
K08764	SCP2	Metabolism	Lipid-metabolism	Primary-bile-acid-biosynthesis	2.3.1.176	sterol carrier protein 2
K11992	ACOT8	Metabolism	Lipid-metabolism	Primary-bile-acid-biosynthesis	3.1.2.27	acyl-CoA thioesterase 8
K00659	BAAT	Metabolism	Lipid-metabolism	Primary-bile-acid-biosynthesis	2.3.1.65	bile acid-CoA:amino acid N-acyltransferase
K01442	E3.5.1.24	Metabolism	Lipid-metabolism	Primary-bile-acid-biosynthesis	3.5.1.24	choloylglycine hydrolase
K01442	E3.5.1.24	Metabolism	Lipid-metabolism	Secondary-bile-acid-biosynthesis	3.5.1.24	choloylglycine hydrolase
K15868	baiB	Metabolism	Lipid-metabolism	Secondary-bile-acid-biosynthesis	NA	bile acid-coenzyme A ligase
K15869	baiA	Metabolism	Lipid-metabolism	Secondary-bile-acid-biosynthesis	NA	NAD(P)-dependent 3-alpha-hydroxysteroid dehydrogenase
K15870	baiCD	Metabolism	Lipid-metabolism	Secondary-bile-acid-biosynthesis	NA	NAD(H)-dependent 7alpha-hydroxy-3-oxo-delta4-cholenoic acid oxidoreductase
K15871	baiF	Metabolism	Lipid-metabolism	Secondary-bile-acid-biosynthesis	3.1.2.26	bile acid-CoA hydrolase
K15872	baiE	Metabolism	Lipid-metabolism	Secondary-bile-acid-biosynthesis	4.2.1.106	bile-acid 7alpha-dehydratase
K15873	baiH	Metabolism	Lipid-metabolism	Secondary-bile-acid-biosynthesis	NA	NAD(H)-dependent 7beta-hydroxy-3-oxo-delta4-cholenoic acid oxidoreductase
K15874	baiI	Metabolism	Lipid-metabolism	Secondary-bile-acid-biosynthesis	NA	bile acid 7beta-dehydratase
K00498	CYP11A	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.14.15.6	cytochrome P450, family 11, subfamily A (cholesterol monooxygenase (side-chain-cleaving))
K00512	CYP17	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.14.99.9	cytochrome P450, family 17, subfamily A (steroid 17alpha-monooxygenase)
K01131	STS	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	3.1.6.2	steryl-sulfatase
K01015	SULT2B1	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	2.8.2.2	alcohol sulfotransferase
K00513	CYP21	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.14.99.10	cytochrome P450, family 21, subfamily A (steroid 21-monooxygenase)
K00070	HSD3B	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.1.1.145	3beta-hydroxy-delta5-steroid dehydrogenase / steroid delta-isomerase
K01822	E5.3.3.1	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	5.3.3.1	steroid delta-isomerase
K12343	SRD5A1	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.3.1.22	3-oxo-5-alpha-steroid 4-dehydrogenase 1
K12344	SRD5A2	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.3.1.22	3-oxo-5-alpha-steroid 4-dehydrogenase 2
K12345	SRD5A3	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.3.1.22	3-oxo-5-alpha-steroid 4-dehydrogenase 3
K00089	E1.1.1.213	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.1.1.213	3alpha-hydroxysteroid dehydrogenase (A-specific)
K04119	AKR1C3	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.1.1.64	aldo-keto reductase family 1 member C3
K00497	CYP11B1	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.14.15.4	cytochrome P450, family 11, subfamily B1 (steroid 11beta-monooxygenase)
K07433	CYP11B2	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.14.15.4	cytochrome P450, family 11, subfamily B2 (steroid 11beta-monooxygenase / corticosterone 18-monooxygenase)
K00251	AKR1D1	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.3.1.3	3-oxo-5-beta-steroid 4-dehydrogenase
K00037	E1.1.1.50	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.1.1.50	3-alpha-hydroxysteroid dehydrogenase
K15680	HSD11B1	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.1.1.146	corticosteroid 11-beta-dehydrogenase isozyme 1
K00071	HSD11B2	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	NA	corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-]
K00038	E1.1.1.53	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.1.1.53	3alpha(or 20beta)-hydroxysteroid dehydrogenase
K05295	E1.1.1.149	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.1.1.149	20alpha-hydroxysteroid dehydrogenase
K07430	CYP7B	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.14.13.100	cytochrome P450, family 7, subfamily B (oxysterol 7-alpha-hydroxylase)
K01016	SULT1E1	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	2.8.2.4	estrone sulfotransferase
K01130	E3.1.6.1	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	3.1.6.1	arylsulfatase
K00044	HSD17B1	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.1.1.62	17beta-estradiol 17-dehydrogenase
K13368	HSD17B2	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.1.1.62	17beta-estradiol 17-dehydrogenase / 3alpha(17beta)-hydroxysteroid dehydrogenase (NAD+)
K13369	HSD17B6	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.1.1.62	17beta-estradiol 17-dehydrogenase / all-trans-retinol dehydrogenase (NAD+) / 3alpha(17beta)-hydroxysteroid dehydrogenase (NAD+)
K13373	HSD17B7	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.1.1.62	17beta-estradiol 17-dehydrogenase / 3beta-hydroxysteroid 3-dehydrogenase
K13370	HSD17B8	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.1.1.62	17beta-estradiol 17-dehydrogenase / 3alpha(17beta)-hydroxysteroid dehydrogenase (NAD+)
K10251	HSD17B12	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.1.1.62	17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase
K07408	CYP1A1	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.14.14.1	cytochrome P450, family 1, subfamily A, polypeptide 1
K07424	CYP3A	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.14.14.1	cytochrome P450, family 3, subfamily A
K07410	CYP1B1	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.14.14.1	cytochrome P450, family 1, subfamily B, polypeptide 1
K07434	CYP19A	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.14.14.1	cytochrome P450, family 19, subfamily A
K00489	CYP7A1	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.14.13.17	cytochrome P450, family 7, subfamily A (cholesterol 7alpha-monooxygenase)
K00699	UGT	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	2.4.1.17	glucuronosyltransferase
K00545	COMT	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	2.1.1.6	catechol O-methyltransferase
K05296	E1.1.1.51	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.1.1.51	3(or 17)beta-hydroxysteroid dehydrogenase
K10207	HSD17B3	Metabolism	Lipid-metabolism	Steroid-hormone-biosynthesis	1.1.1.64	testosterone 17beta-dehydrogenase (NADP+)
K00865	glxK	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.7.1.31	glycerate kinase
K15788	GLYCTK	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.7.1.31	glycerate kinase
K15918	GLYK	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.7.1.31	D-glycerate 3-kinase
K00128	E1.2.1.3	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	1.2.1.3	aldehyde dehydrogenase (NAD+)
K14085	ALDH7A1	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	1.2.1.31	aldehyde dehydrogenase family 7 member A1
K00149	ALDH9A1	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	1.2.1.47	aldehyde dehydrogenase family 9 member A1
K00011	E1.1.1.21	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	1.1.1.21	aldehyde reductase
K00002	E1.1.1.2	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	1.1.1.2	alcohol dehydrogenase (NADP+)
K00863	E2.7.1.29	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.7.1.29	dihydroxyacetone kinase
K05878	dhaK	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	NA	dihydroxyacetone kinase, N-terminal domain [EC:2.7.1.-]
K05879	dhaL	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	NA	dihydroxyacetone kinase, C-terminal domain [EC:2.7.1.-]
K00005	E1.1.1.6	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	1.1.1.6	glycerol dehydrogenase
K00864	E2.7.1.30	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.7.1.30	glycerol kinase
K06116	GPP1	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	3.1.3.21	glycerol 3-phosphatase 1
K06117	GPP2	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	3.1.3.21	glycerol 3-phosphatase 2
K00629	GPAT1_2	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.3.1.15	glycerol-3-phosphate O-acyltransferase 1/2
K13506	GPAT3_4	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.3.1.15	glycerol-3-phosphate O-acyltransferase 3/4
K13507	GAT	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.3.1.15	glycerol-3-phosphate O-acyltransferase / dihydroxyacetone phosphate acyltransferase
K00630	ATS1	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.3.1.15	glycerol-3-phosphate O-acyltransferase
K13508	GPAT	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.3.1.15	glycerol-3-phosphate acyltransferase
K00631	plsB	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.3.1.15	glycerol-3-phosphate O-acyltransferase
K03621	plsX	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.3.1.15	glycerol-3-phosphate acyltransferase PlsX
K08591	plsY	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.3.1.15	glycerol-3-phosphate acyltransferase PlsY
K00655	plsC	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.3.1.51	1-acyl-sn-glycerol-3-phosphate acyltransferase
K13509	LPAAT	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.3.1.51	lysophosphatidate acyltransferase
K13513	LCLAT1	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	NA	lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51]
K13517	MBOAT1_2	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.3.1.51	lysophospholipid acyltransferase 1/2
K13519	LPT1	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.3.1.51	lysophospholipid acyltransferase
K13523	AGPAT3_4	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.3.1.51	lysophosphatidic acid acyltransferase / lysophosphatidylinositol acyltransferase
K01080	PPAP2	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	3.1.3.4	phosphatidate phosphatase
K15728	LPIN	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	3.1.3.4	phosphatidate phosphatase LPIN
K00901	E2.7.1.107	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.7.1.107	diacylglycerol kinase (ATP dependent)
K00635	E2.3.1.20	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.3.1.20	diacylglycerol O-acyltransferase
K11155	DGAT1	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.3.1.20	diacylglycerol O-acyltransferase 1
K11160	DGAT2	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.3.1.20	diacylglycerol O-acyltransferase 2
K14456	MOGAT3	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.3.1.20	2-acylglycerol O-acyltransferase 3
K00679	E2.3.1.158	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.3.1.158	phospholipid:diacylglycerol acyltransferase
K01046	E3.1.1.3	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	3.1.1.3	triacylglycerol lipase
K12298	CEL	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	3.1.1.3	bile salt-stimulated lipase
K16816	PNPLA2	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	3.1.1.3	patatin-like phospholipase domain-containing protein 2
K13534	PNPLA3	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	3.1.1.3	patatin-like phospholipase domain-containing protein 3
K14073	PNLIP	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	3.1.1.3	pancreatic triacylglycerol lipase
K14074	PNLIPRP1	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	3.1.1.3	pancreatic lipase-related protein 1
K14075	PNLIPRP2	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	3.1.1.3	pancreatic lipase-related protein 2
K14076	PNLIPRP3	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	3.1.1.3	pancreatic lipase-related protein 3
K14452	LIPF	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	3.1.1.3	gastric triacylglycerol lipase
K14675	TGL3	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	3.1.1.3	TAG lipase / lysophosphatidylethanolamine acyltransferase
K14674	TGL4	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	3.1.1.3	TAG lipase / steryl ester hydrolase / phospholipase A2 / LPA acyltransferase
K01059	LPL	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	3.1.1.34	lipoprotein lipase
K09881	E2.7.1.94	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.7.1.94	acylglycerol kinase
K01054	MGLL	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	3.1.1.23	acylglycerol lipase
K03429	ugtP	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.4.1.157	1,2-diacylglycerol 3-glucosyltransferase
K01002	E2.7.8.20	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.7.8.20	phosphoglycerol transferase
K06118	E3.13.1.1	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	3.13.1.1	UDP-sulfoquinovose synthase
K06119	SQD2	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	NA	sulfoquinovosyltransferase [EC:2.4.1.-]
K03715	E2.4.1.46	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.4.1.46	1,2-diacylglycerol 3-beta-galactosyltransferase
K09480	E2.4.1.241	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	2.4.1.241	digalactosyldiacylglycerol synthase
K01189	GLA	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	3.2.1.22	alpha-galactosidase
K07406	melA	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	3.2.1.22	alpha-galactosidase
K07407	E3.2.1.22B	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	3.2.1.22	alpha-galactosidase
K06120	dhaB	Metabolism	Lipid-metabolism	Glycerolipid-metabolism	4.2.1.30	glycerol dehydratase large subunit
